No;Kode Dealer;Nama Dealer;Kode Main Dealer
439;8177;KING SERVICE CENTRE;D2Z
440;18300;MOTOR JAYA 5;G01
441;17942;BERKAT SETIA MOTOR;G01
442;8174;ARYA MOTOR;G01
443;17234;UD. CENTRAL MOTOR 2;M2Z
444;12629;RODA MAKMUR ABADI;I3Z
445;18809;TRAMO MOTOR;W01
446;9512;ADIBA MOTOR;G01
447;15888;TUNAS DWIPA MATRA;H2Z
448;15891;TUNAS DWIPA MATRA;H2Z
449;8981;MATAHARI MOTOR;L01
450;7528;MERDEKA MOTOR;L01
451;8292;MAHENDRA MOTOR;B10
452;688;TARUNA JAYA MOTOR;K0Z
453;14097;DIRA MOTOR;J10
454;2586;BERLIAN MOTOR;J10
455;2709;WIRA AGUNG LESTARI, CV;J10
456;10137;CV. BERKAH SINERGI;J10
457;9633;RIZKIA HERZA MOTOR, CV;J10
458;8931;MARKONI MOTOR;J10
459;16790;METAGUNA INNOVA;J10
460;7466;CICADAS MOTOR, CV;J10
461;7267;SEJAHTERA MULIA;J10
462;6849;SRIWIJAYA MOTOR;J10
463;7694;INTAN MOTOR, CV;J10
464;17308;KARANG MOTOR;J10
465;17862;SUMBER ALAM MOTOR;J10
466;16221;PREMA MOTOR;V2Z
467;2300;BAROKAH MOTOR, CV;J10
468;16679;MC MOTOR;J10
469;10941;NIRWANA SEJAHTERA ABADI;J10
470;11569;SINAR ABADI MOTOR;J10
471;10281;DHARMA MAKMUR SENTOSA;J10
472;2705;BERLIANA MOTOR;J10
473;17634;ALDI;J10
474;2734;GUNA MOTOR , CV;J10
475;427;PD MULIA MOTOR I;J10
476;7220;NUR ANDHITA;J10
477;18721;SEPAKAT MOTOR;R5Z
478;1520;VARAS JAYA MOTOR;V2Z
479;10193;SONA MOTOR;D2Z
480;762;UD AHASS CITRA JAYA MOTOR;R4Z
481;16401;KJM WARUNG JAUD;J20
482;2188;ROBY MOTOR;J10
483;2221;KEBALEN DAMAI;J10
484;6912;PERMATA DHARMA FORTUNA, CV;J10
485;1626;GUMILANG MOTOR;J10
486;2738;SELAMET LESTARI MANDIRI;J10
487;2014;JAKARTA MOTOR;J10
